=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.04.25 20:40:12 =~=~=~=~=~=~=~=~=~=~=~=
161,	31.894712
162,	32.736134
163,	53.158569
164,	52.791988
165,	52.306427
166,	44.460304
167,	18.649553
168,	18.648481
169,	18.445896
170,	18.198294
171,	17.819921
172,	17.768473
173,	17.770617
174,	18.445896
175,	17.824209
176,	17.814562
177,	18.188646
178,	17.352585
179,	17.767401
